trip_id,start_time,end_time,headway_secs,exact_times
1-P94,00:00:00,23:59:59,1200,0
1-P95,00:00:00,23:59:59,1200,0
1-P96,00:00:00,23:59:59,1200,0
1-P97,00:00:00,23:59:59,1200,0
1P-R03,05:00:00,22:00:00,1000,0
1P-R04,05:00:00,22:00:00,3600,0
1P-R05,05:00:00,22:00:00,1200,0
1P-R06,05:00:00,22:00:00,1200,0
1P-R07,05:00:00,22:00:00,1200,0
1Q-R01,05:00:00,22:00:00,600,0
1Q-R02,05:00:00,22:00:00,600,0
1Q-R04,05:00:00,22:00:00,1200,0
1-R07,00:00:00,23:59:59,360,0
1-R08,00:00:00,23:59:59,360,0
1R-L04,05:00:00,22:00:00,900,0
1R-L05,05:00:00,22:00:00,1200,0
1W-L01,05:00:00,22:00:00,900,0
1W-R01,05:00:00,22:00:00,1200,0
1W-R02,05:00:00,22:00:00,1200,0
21ST-L02,05:00:00,22:00:00,360,0
2A-L02,05:00:00,22:00:00,540,0
2A-L03,05:00:00,22:00:00,1200,0
2A-L04,05:00:00,22:00:00,1200,0
2A-R04,05:00:00,06:30:00,600,0
2B-L03,05:00:00,22:00:00,1100,0
2B-R05,05:00:00,22:00:00,3600,0
2B-R06,05:30:00,06:00:00,1800,0
2F-L04,05:00:00,22:00:00,360,0
2H-L03,05:00:00,22:00:00,1200,0
2-L02,00:00:00,23:59:59,400,0
2-L04,00:00:00,23:59:59,1200,0
2-L05,00:00:00,23:59:59,1200,0
2P-L04,05:00:00,22:00:00,1800,0
2Q-L01,05:00:00,22:00:00,1100,0
2Q-R01,05:00:00,22:00:00,3600,0
2Q-R02,05:00:00,22:00:00,3600,0
2-R04,05:00:00,06:00:00,200,0
2-R05,00:00:00,23:59:59,257,0
3A-L01,05:00:00,22:00:00,1200,0
3A-L03,05:00:00,22:00:00,600,0
3B-L02,05:00:00,22:00:00,1200,0
3B-L03,05:00:00,22:00:00,1200,0
3B-R04,05:00:00,22:00:00,1200,0
3B-R05,05:00:00,22:00:00,1200,0
3C-L02,05:00:00,22:00:00,3600,0
3D-L03,05:00:00,22:00:00,1500,0
3D-R03,05:00:00,06:00:00,3600,0
3D-R05,05:00:00,22:00:00,3600,0
3E-R06,05:00:00,22:00:00,1380,0
3E-R07,05:00:00,22:00:00,1380,0
3F-L01,05:00:00,22:00:00,330,0
3F-L03,05:00:00,22:00:00,1200,0
3F-R08,05:00:00,22:00:00,360,0
3H-L04,05:00:00,22:00:00,1000,0
3H-R06,05:00:00,22:00:00,1800,0
3H-R07,05:00:00,06:00:00,1200,0
3-L02,00:00:00,23:59:59,3600,0
3-L04,00:00:00,23:59:59,500,0
3-L05,00:00:00,23:59:59,1200,0
3-L06,00:00:00,23:59:59,1200,0
3-L07,00:00:00,23:59:59,700,0
3-L08,05:00:00,22:00:00,1200,0
3-P06,00:00:00,23:59:59,1200,0
3-R05,00:00:00,23:59:59,200,0
3-R06,05:00:00,06:00:00,327,0
4B-R01,05:00:00,22:00:00,400,0
4B-R03,05:00:00,22:00:00,1500,0
4B-R06,05:00:00,22:00:00,1400,0
4C-L05,05:00:00,22:00:00,800,0
4C-R10,05:00:00,06:00:00,360,0
4D-L08,05:00:00,22:00:00,900,0
4E-L02,05:00:00,22:00:00,1200,0
4F-R03,05:00:00,22:00:00,960,0
4F-R04,05:00:00,22:00:00,960,0
4K-L03,05:00:00,22:00:00,1200,0
4K-R08,05:00:00,06:00:00,1300,0
4-P22,00:00:00,23:59:59,3600,0
4-P27,00:00:00,23:59:59,3600,0
4-R24,00:00:00,23:59:59,1200,0
4-R25,00:00:00,23:59:59,1200,0
4-R27,00:00:00,23:59:59,450,0
4-R26,00:00:00,23:59:59,500,0
4-R20,00:00:00,23:59:59,1200,0
4-R28,00:00:00,23:59:59,1200,0
5B-L03,05:00:00,22:00:00,1020,0
5C-L06,05:00:00,22:00:00,1200,0
5C-L07,05:00:00,22:00:00,500,0
5C-L08,05:00:00,22:00:00,1200,0
5C-L09,05:00:00,22:00:00,1200,0
5C-P09,05:00:00,22:00:00,1200,0
5C-P10,05:00:00,22:00:00,1200,0
5C-R09,05:00:00,22:00:00,240,0
5C-R10,05:00:00,06:00:00,240,0
5F-L02,05:00:00,22:00:00,780,0
5M-L03,05:00:00,22:00:00,3600,0
5M-L04,05:00:00,22:00:00,600,0
5M-L05,05:00:00,22:00:00,3600,0
5M-L06,05:00:00,22:00:00,3600,0
5M-P21,05:00:00,22:00:00,3600,0
5M-R02,05:00:00,22:00:00,1800,0
5N-R01,05:00:00,22:00:00,900,0
5N-R02,05:00:00,22:00:00,600,0
5N-R04,05:00:00,22:00:00,1200,0
5-P21,00:00:00,23:59:59,1800,0
5-R01,00:00:00,23:59:59,327,0
5-R02,00:00:00,23:59:59,360,0
6A-L03,05:00:00,22:00:00,1200,0
6A-L04,05:00:00,22:00:00,3600,0
6A-R07,05:00:00,22:00:00,800,0
6A-R08,05:00:00,22:00:00,800,0
6B-L02,05:00:00,22:00:00,1200,0
6B-L03,05:00:00,22:00:00,1200,0
6B-L04,05:00:00,22:00:00,3600,0
6B-R07,05:00:00,22:00:00,800,0
6B-R08,05:00:00,22:00:00,800,0
6C-L04,05:00:00,22:00:00,514,0
6D-L02,05:00:00,22:00:00,900,0
6D-L04,05:00:00,22:00:00,1200,0
6D-R04,05:00:00,22:00:00,3600,0
6H-L04,05:00:00,22:00:00,700,0
6H-R04,05:00:00,22:00:00,708,0
6H-R05,05:00:00,22:00:00,400,0
6K-L05,05:00:00,22:00:00,700,0
6-L05,00:00:00,23:59:59,1200,0
6M-R07,05:00:00,22:00:00,1080,0
6M-R08,05:00:00,22:00:00,450,0
6N-R05,05:00:00,22:00:00,840,0
6N-R06,05:00:00,22:00:00,840,0
6N-R07,05:00:00,10:00:00,840,0
6Q-L04,05:00:00,22:00:00,660,0
6-R04,00:00:00,23:59:59,180,0
6-R05,05:00:00,22:00:00,360,0
6T-L02,05:00:00,22:00:00,1020,0
6T-R03,05:00:00,22:00:00,360,0
6T-R04,05:00:00,05:30:00,360,0
6U-R03,05:00:00,22:00:00,600,0
6U-R04,05:00:00,22:00:00,600,0
6V-L01,05:00:00,22:00:00,660,0
6V-L03,05:00:00,22:00:00,660,0
6V-L04,05:00:00,22:00:00,660,0
6V-R04,05:00:00,22:00:00,360,0
6W-L02,05:00:00,22:00:00,1200,0
7A-L01,05:00:00,22:00:00,800,0
7A-R01,05:00:00,22:00:00,514,0
7A-R02,05:00:00,06:00:00,514,0
7B-L06,05:00:00,22:00:00,3600,0
7B-P07,05:00:00,06:00:00,360,0
7B-P08,05:00:00,22:00:00,360,0
7B-R03,05:00:00,22:00:00,720,0
7B-R04,05:00:00,22:00:00,900,0
7C-L01,05:00:00,22:00:00,600,0
7D-L02,05:00:00,22:00:00,450,0
7E-R01,05:00:00,22:00:00,1490,0
7E-R05,05:00:00,22:00:00,1490,0
7F-L02,05:00:00,09:30:00,1700,0
7F-L03,14:00:00,20:30:00,1200,0
7F-L04,14:00:00,20:30:00,1200,0
7F-R05,07:00:00,08:30:00,600,0
7F-R06,05:00:00,06:00:00,600,0
7-P01,00:00:00,23:59:59,720,0
7-P02,00:00:00,23:59:59,514,0
7-P05,00:00:00,23:59:59,1200,0
7P-L03,05:00:00,22:00:00,660,0
7P-R05,05:00:00,22:00:00,1200,0
7P-R06,05:00:00,06:00:00,1200,0
7Q-L01,05:00:00,22:00:00,3600,0
7Q-L02,05:00:00,22:00:00,1600,0
7Q-P01,05:00:00,06:00:00,1300,0
7Q-R03,05:00:00,22:00:00,1200,0
7-R01,00:00:00,23:59:59,400,0
7-R02,00:00:00,23:59:59,400,0
7R-R01,05:00:00,06:00:00,1800,0
7T-R01,05:00:00,06:00:00,1800,0
7U-R01,05:00:00,06:00:00,3600,0
7V-L01,05:00:00,22:00:00,900,0
7W-L03,05:00:00,22:00:00,1500,0
8A-L05,05:00:00,22:00:00,2400,0
8A-R03,05:00:00,22:00:00,1200,0
8A-R07,05:00:00,22:00:00,3600,0
8C-L03,05:00:00,22:00:00,1140,0
8C-P21,05:00:00,22:00:00,360,0
8D-R02,05:00:00,22:00:00,600,0
8D-R05,05:00:00,22:00:00,514,0
8E-R01,05:00:00,22:00:00,720,0
8E-R03,05:00:00,22:00:00,1400,0
8E-R05,05:00:00,22:00:00,1200,0
8K-L02,05:00:00,22:00:00,960,0
8-L05,00:00:00,23:59:59,3600,0
8-L07,00:00:00,23:59:59,3600,0
8-L08,00:00:00,23:59:59,3600,0
8M-L02,05:00:00,22:00:00,1080,0
8N-L02,05:00:00,22:00:00,780,0
8N-R01,05:00:00,22:00:00,360,0
8-P03,00:00:00,23:59:59,514,0
8-P04,00:00:00,23:59:59,600,0
8-P24,00:00:00,23:59:59,900,0
8-P25,00:00:00,23:59:59,900,0
8-P26,00:00:00,23:59:59,900,0
8-P27,00:00:00,23:59:59,900,0
8-R03,00:00:00,23:59:59,225,0
8-R04,00:00:00,23:59:59,360,0
8-R09,00:00:00,23:59:59,1200,0
8-R10,00:00:00,23:59:59,1200,0
9A-L08,05:00:00,22:00:00,1200,0
9A-R07,05:00:00,22:00:00,277,0
9A-R08,05:00:00,22:00:00,300,0
9C-L01,05:00:00,22:00:00,600,0
9C-R02,05:00:00,22:00:00,3600,0
9C-R06,05:00:00,22:00:00,360,0
9D-P23,05:00:00,22:00:00,3600,0
9D-P24,05:00:00,22:00:00,1800,0
9D-R04,05:00:00,22:00:00,400,0
9D-R05,05:00:00,22:00:00,514,0
9D-R09,05:00:00,22:00:00,1200,0
9D-R10,05:00:00,22:00:00,1200,0
9E-L01,05:00:00,22:00:00,1100,0
9E-P21,05:00:00,22:00:00,3600,0
9E-R02,05:00:00,06:00:00,1200,0
9F-L01,05:00:00,22:00:00,3600,0
9F-R01,05:00:00,22:00:00,3600,0
9F-R02,05:00:00,22:00:00,3600,0
9H-L08,05:00:00,22:00:00,900,0
9H-L09,05:00:00,22:00:00,900,0
9N-L02,05:00:00,22:00:00,1020,0
9-P06,05:00:00,22:00:00,1200,0
9-P23,00:00:00,23:59:59,3600,0
9-P24,00:00:00,23:59:59,3600,0
9-P26,00:00:00,23:59:59,600,0
9-P29,00:00:00,23:59:59,360,0
9-R01,00:00:00,23:59:59,225,0
9-R02,00:00:00,23:59:59,400,0
9-R03,00:00:00,23:59:59,1200,0
9-R05,05:00:00,22:00:00,360,0
9-R06,05:00:00,22:00:00,360,0
B11-L07,05:00:00,22:00:00,3600,0
B11-L08,05:00:00,22:00:00,1200,0
B11-L09,05:00:00,22:00:00,1200,0
B11-R09,05:00:00,22:00:00,1280,0
B11-R10,05:00:00,05:30:00,1200,0
B21-L06,05:00:00,22:00:00,680,0
B21-R09,05:00:00,22:00:00,680,0
B21-R10,05:00:00,22:00:00,680,0
B25-L05,05:00:00,22:00:00,1200,0
B25-L04,05:00:00,22:00:00,1200,0
B25-P02,05:00:00,22:00:00,360,0
B25-R05,05:00:00,22:00:00,1200,0
B25-R06,05:00:00,22:00:00,1200,0
B41-L02,05:00:00,07:00:00,1200,0
B41-L03,05:00:00,22:00:00,1200,0
B41-L04,05:00:00,22:00:00,1200,0
B41-R01,05:00:00,22:00:00,1200,0
B41-R04,05:00:00,22:00:00,1200,0
B41-R05,05:00:00,22:00:00,1200,0
B51-L01,05:00:00,22:00:00,360,0
B51-R01,05:00:00,22:00:00,360,0
B51-R02,05:00:00,22:00:00,360,0
BW1-L02,10:00:00,17:00:00,52700,0
BW1-R01,05:00:00,22:00:00,1200,0
BW1-R02,05:00:00,22:00:00,1200,0
BW2-L02,10:00:00,17:00:00,52700,0
BW4-L01,10:00:00,17:00:00,52700,0
D11-L07,05:00:00,22:00:00,1200,0
D11-L08,05:00:00,22:00:00,1200,0
D11-L09,05:00:00,22:00:00,360,0
D11-R10,05:00:00,22:00:00,800,0
D11-R12,05:00:00,22:00:00,2760,0
D21-L01,05:00:00,22:00:00,700,0
D21-R01,05:00:00,22:00:00,400,0
D21-R02,05:00:00,06:00:00,600,0
D41-L01,05:00:00,22:00:00,1200,0
D41-L02,15:00:00,19:00:00,1200,0
D41-R01,05:00:00,22:00:00,1200,0
D41-R02,05:00:00,22:00:00,1200,0
JAK.01-L01,05:00:00,22:00:00,360,0
JAK.01-R02,05:00:00,22:00:00,360,0
JAK.02-L01,05:00:00,22:00:00,360,0
JAK.02-R02,05:00:00,22:00:00,360,0
JAK.03-L01,05:00:00,22:00:00,360,0
JAK.03-R01,05:00:00,22:00:00,360,0
JAK.04-L03,05:00:00,22:00:00,360,0
JAK.04-R02,05:00:00,22:00:00,360,0
JAK.05-L01,05:00:00,22:00:00,360,0
JAK.05-R01,05:00:00,22:00:00,360,0
JAK.05-R02,05:00:00,22:00:00,1200,0
JAK.06-R03,05:00:00,22:00:00,360,0
JAK.06-R04,05:00:00,22:00:00,360,0
JAK.07-R01,05:00:00,22:00:00,360,0
JAK.07-R02,05:00:00,22:00:00,360,0
JAK.08-L04,05:00:00,22:00:00,1200,0
JAK.09-L03,05:00:00,22:00:00,1200,0
JAK.09-L04,05:00:00,22:00:00,360,0
JAK.100-L03,05:00:00,22:00:00,360,0
JAK.100-R05,05:00:00,22:00:00,360,0
JAK.102-L02,05:00:00,22:00:00,360,0
JAK.102-R04,05:00:00,22:00:00,360,0
JAK.105-R05,05:00:00,22:00:00,360,0
JAK.105-R06,05:00:00,22:00:00,360,0
JAK.106-L03,05:00:00,22:00:00,360,0
JAK.106-R04,05:00:00,22:00:00,360,0
JAK.106-R05,05:00:00,22:00:00,360,0
JAK.107-R01,05:00:00,22:00:00,360,0
JAK.107-R02,05:00:00,22:00:00,360,0
JAK.108-L01,05:00:00,22:00:00,1200,0
JAK.108-L02,05:00:00,22:00:00,360,0
JAK.10A-L01,05:00:00,22:00:00,360,0
JAK.10A-R02,05:00:00,22:00:00,360,0
JAK.10B-L01,05:00:00,22:00:00,360,0
JAK.10-L01,05:00:00,22:00:00,360,0
JAK.10-L02,05:00:00,22:00:00,360,0
JAK.10-R01,05:00:00,22:00:00,360,0
JAK.10-R02,05:00:00,22:00:00,360,0
JAK.110A-L01,05:00:00,22:00:00,360,0
JAK.110A-R01,05:00:00,22:00:00,1200,0
JAK.110A-R02,05:00:00,22:00:00,360,0
JAK.112-L02,05:00:00,22:00:00,360,0
JAK.112-R01,05:00:00,22:00:00,360,0
JAK.112-R02,05:00:00,22:00:00,1200,0
JAK.113-L02,05:00:00,22:00:00,360,0
JAK.113-R04,05:00:00,22:00:00,360,0
JAK.115-L01,05:00:00,22:00:00,360,0
JAK.115-R01,05:00:00,22:00:00,360,0
JAK.115-R02,05:00:00,22:00:00,360,0
JAK.117-R05,05:00:00,22:00:00,360,0
JAK.117-R08,05:00:00,22:00:00,360,0
JAK.118-R05,05:00:00,22:00:00,1200,0
JAK.118-R06,05:00:00,22:00:00,1200,0
JAK.11-L01,05:00:00,22:00:00,360,0
JAK.11-L02,05:00:00,22:00:00,360,0
JAK.11-L03,05:00:00,22:00:00,360,0
JAK.11-R01,05:00:00,22:00:00,360,0
JAK.11-R02,05:00:00,22:00:00,360,0
JAK.120-L03,05:00:00,22:00:00,360,0
JAK.12-L01,05:00:00,22:00:00,360,0
JAK.12-L02,05:00:00,22:00:00,360,0
JAK.12-L03,05:00:00,22:00:00,360,0
JAK.12-R01,05:00:00,22:00:00,360,0
JAK.12-R02,05:00:00,22:00:00,360,0
JAK.13-L01,05:00:00,22:00:00,360,0
JAK.13-L02,05:00:00,22:00:00,360,0
JAK.13-R01,05:00:00,22:00:00,360,0
JAK.13-R02,05:00:00,22:00:00,360,0
JAK.14-L01,05:00:00,22:00:00,360,0
JAK.14-L02,05:00:00,22:00:00,360,0
JAK.14-L03,05:00:00,22:00:00,360,0
JAK.14-R01,05:00:00,22:00:00,360,0
JAK.14-R02,05:00:00,22:00:00,360,0
JAK.15-R04,05:00:00,22:00:00,360,0
JAK.15-R05,05:00:00,22:00:00,360,0
JAK.16-L01,05:00:00,22:00:00,360,0
JAK.16-R01,05:00:00,22:00:00,360,0
JAK.16-R02,05:00:00,22:00:00,360,0
JAK.17-L01,05:00:00,22:00:00,360,0
JAK.17-R01,05:00:00,22:00:00,360,0
JAK.17-R02,05:00:00,22:00:00,360,0
JAK.18-L01,05:00:00,22:00:00,360,0
JAK.19-R01,05:00:00,22:00:00,360,0
JAK.19-R02,05:00:00,22:00:00,360,0
JAK.20-L01,05:00:00,22:00:00,360,0
JAK.20-P01,05:00:00,22:00:00,1200,0
JAK.20-R01,05:00:00,22:00:00,360,0
JAK.20-R02,05:00:00,22:00:00,360,1
JAK.21-R01,05:00:00,22:00:00,360,0
JAK.21-R02,05:00:00,22:00:00,360,0
JAK.22-L02,05:00:00,22:00:00,360,0
JAK.23-L01,05:00:00,22:00:00,360,0
JAK.23-L02,05:00:00,22:00:00,1200,0
JAK.23-R02,05:00:00,22:00:00,360,0
JAK.24-R01,05:00:00,22:00:00,360,0
JAK.24-R02,05:00:00,22:00:00,360,0
JAK.25-R04,05:00:00,22:00:00,360,0
JAK.25-R05,05:00:00,22:00:00,360,0
JAK.26-L01,05:00:00,22:00:00,360,0
JAK.26-R01,05:00:00,22:00:00,360,0
JAK.27-L01,05:00:00,22:00:00,360,0
JAK.27-R01,05:00:00,22:00:00,360,0
JAK.27-R02,05:00:00,22:00:00,360,0
JAK.28-R05,05:00:00,22:00:00,360,0
JAK.28-R06,05:00:00,22:00:00,360,0
JAK.29-R04,05:00:00,22:00:00,360,0
JAK.29-R05,05:00:00,22:00:00,360,0
JAK.30-R01,05:00:00,22:00:00,360,0
JAK.30-R02,05:00:00,22:00:00,360,0
JAK.31-R01,05:00:00,22:00:00,360,0
JAK.31-R02,05:00:00,22:00:00,360,0
JAK.32-R03,05:00:00,22:00:00,360,0
JAK.32-R04,05:00:00,22:00:00,360,0
JAK.33-L01,05:00:00,22:00:00,1200,0
JAK.33-R03,05:00:00,22:00:00,1200,0
JAK.33-R04,05:00:00,22:00:00,1200,0
JAK.34-L02,05:00:00,22:00:00,360,0
JAK.34-R03,05:00:00,22:00:00,1200,0
JAK.34-R04,05:00:00,22:00:00,1200,0
JAK.35-L02,05:00:00,22:00:00,360,0
JAK.35-R03,05:00:00,22:00:00,360,0
JAK.35-R05,05:00:00,22:00:00,360,0
JAK.36-R05,05:00:00,22:00:00,1200,0
JAK.36-R06,05:00:00,22:00:00,360,0
JAK.37-L01,05:00:00,22:00:00,360,0
JAK.37-R01,05:00:00,22:00:00,360,0
JAK.37-R03,05:00:00,22:00:00,360,0
JAK.38-R01,05:00:00,22:00:00,360,0
JAK.38-R02,05:00:00,22:00:00,360,0
JAK.39-L01,05:00:00,22:00:00,1200,0
JAK.39-L02,05:00:00,22:00:00,360,0
JAK.40-L03,05:00:00,22:00:00,1200,0
JAK.40-L04,05:00:00,22:00:00,360,0
JAK.40-R03,05:00:00,22:00:00,360,0
JAK.41-R03,05:00:00,22:00:00,360,0
JAK.41-R04,05:00:00,22:00:00,360,0
JAK.42A-L01,05:00:00,22:00:00,360,0
JAK.42-L02,05:00:00,22:00:00,360,0
JAK.42-R03,05:00:00,22:00:00,360,0
JAK.42-R04,05:00:00,22:00:00,360,0
JAK.43B-L01,05:00:00,22:00:00,360,0
JAK.43B-L02,06:00:00,10:00:00,360,0
JAK.43B-R02,05:00:00,22:00:00,360,0
JAK.43C-L01,05:00:00,22:00:00,360,0
JAK.44-L01,05:00:00,22:00:00,360,0
JAK.45-L01,05:00:00,22:00:00,360,0
JAK.45-R02,05:00:00,22:00:00,360,0
JAK.46-R07,05:00:00,22:00:00,360,0
JAK.46-R08,05:00:00,22:00:00,360,0
JAK.47-R05,05:00:00,22:00:00,360,0
JAK.47-R06,05:00:00,22:00:00,360,0
JAK.48A-L01,05:00:00,22:00:00,360,0
JAK.48A-L02,05:00:00,22:00:00,360,0
JAK.48A-R01,05:00:00,22:00:00,360,0
JAK.48A-R02,05:00:00,22:00:00,360,0
JAK.49-L03,05:00:00,22:00:00,360,0
JAK.49-R06,05:00:00,22:00:00,1200,0
JAK.49-R07,05:00:00,22:00:00,1200,0
JAK.50-L02,05:00:00,22:00:00,360,0
JAK.50-R02,05:00:00,22:00:00,1200,0
JAK.50-R05,05:00:00,22:00:00,360,0
JAK.51-L01,05:00:00,22:00:00,1200,0
JAK.51-L02,05:00:00,22:00:00,360,0
JAK.51-R03,05:00:00,22:00:00,360,0
JAK.52-R11,05:00:00,22:00:00,360,0
JAK.52-R06,05:00:00,22:00:00,360,0
JAK.53-L03,05:00:00,22:00:00,360,0
JAK.54-L01,05:00:00,22:00:00,360,0
JAK.54-R01,05:00:00,22:00:00,360,0
JAK.56-R05,05:00:00,22:00:00,360,0
JAK.56-R06,05:00:00,22:00:00,360,0
JAK.58-R05,05:00:00,22:00:00,1200,0
JAK.58-R06,05:00:00,22:00:00,1200,0
JAK.59-R03,05:00:00,22:00:00,1200,0
JAK.59-R04,05:00:00,22:00:00,1200,0
JAK.60-L02,05:00:00,22:00:00,360,0
JAK.61-L03,05:00:00,22:00:00,1200,0
JAK.64-L01,05:00:00,22:00:00,360,0
JAK.71-R01,05:00:00,22:00:00,360,0
JAK.71-R02,05:00:00,22:00:00,360,0
JAK.72-R01,05:00:00,22:00:00,360,0
JAK.72-R02,05:00:00,22:00:00,360,0
JAK.73-R05,05:00:00,22:00:00,360,0
JAK.73-R06,05:00:00,22:00:00,360,0
JAK.74-L01,05:00:00,22:00:00,360,0
JAK.75-R01,05:00:00,22:00:00,360,0
JAK.75-R03,05:00:00,22:00:00,360,0
JAK.76-L01,05:00:00,22:00:00,360,0
JAK.76-R01,05:00:00,22:00:00,1200,0
JAK.76-R02,05:00:00,22:00:00,1200,0
JAK.77-R01,05:00:00,22:00:00,360,0
JAK.77-R02,05:00:00,22:00:00,360,0
JAK.78A-L01,05:00:00,22:00:00,360,0
JAK.78B-L03,05:00:00,22:00:00,360,0
JAK.79-L01,05:00:00,22:00:00,360,0
JAK.80-R09,05:00:00,22:00:00,360,0
JAK.80-R10,05:00:00,22:00:00,360,0
JAK.84-L03,05:00:00,22:00:00,360,0
JAK.84-R05,05:00:00,22:00:00,360,0
JAK.84-R06,05:00:00,22:00:00,360,0
JAK.85-L01,05:00:00,22:00:00,1200,0
JAK.85-L02,05:00:00,22:00:00,360,0
JAK.85-R02,05:00:00,22:00:00,1200,0
JAK.86-R04,05:00:00,22:00:00,360,0
JAK.86-R05,05:00:00,22:00:00,360,0
JAK.87-L01,05:00:00,22:00:00,360,0
JAK.87-R01,05:00:00,22:00:00,360,0
JAK.87-R02,05:00:00,22:00:00,1200,0
JAK.88-L04,05:00:00,22:00:00,360,0
JAK.88-R06,05:00:00,22:00:00,360,0
JAK.89-L01,05:00:00,22:00:00,360,0
JAK.89-R02,05:00:00,22:00:00,360,0
JAK.90-L02,05:00:00,22:00:00,360,0
JAK.90-R01,05:00:00,22:00:00,1200,0
JAK.93-L02,05:00:00,22:00:00,360,0
JAK.93-L03,05:00:00,22:00:00,1200,0
